,ON_DAY,SUM_VALUES,MAX(AGE1_SEX0),MAX(AGE2_SEX0),MAX(AGE3_SEX0),MAX(AGE1_SEX1),MAX(AGE2_SEX1),MAX(AGE3_SEX1),Class
4003,157,212,17,82,29,14,26,41,1
4004,11,211,21,29,32,12,70,13,1
4005,185,217,25,102,30,21,43,36,1
4006,278,10,28,47,28,11,61,16,1
4007,83,6,3,70,19,20,57,37,1
4008,134,213,27,42,28,7,30,25,1
4009,243,218,25,44,3,15,46,6,1
4010,250,7,29,98,8,32,24,37,1
4011,137,2,2,50,28,5,21,35,1
4012,37,218,13,77,5,4,39,14,1
4013,179,202,14,53,24,3,44,17,1
4014,194,205,27,43,4,32,47,2,1
4015,23,8,10,50,7,6,27,23,1
4016,25,7,18,61,12,17,53,30,1
4017,141,207,9,4,6,29,17,5,1
4018,99,215,16,73,12,4,61,14,1
4019,237,206,13,114,4,11,56,11,1
4020,234,204,29,41,26,7,10,19,1
4021,76,11,16,23,25,5,39,8,1
4022,157,13,3,94,15,24,4,29,1
4023,338,210,16,23,6,2,58,40,1
4024,133,206,26,29,11,31,27,7,1
4025,295,7,2,12,6,22,58,24,1
4026,109,209,5,81,25,19,49,8,1
4027,145,10,8,29,22,3,12,18,1
4028,176,9,13,48,20,31,6,37,1
4029,231,216,28,114,17,21,31,29,1
4030,315,0,4,16,16,12,13,15,1
4031,261,214,7,85,23,31,31,26,1
4032,281,0,28,78,1,16,60,9,1
4033,269,209,6,6,2,32,31,34,1
4034,106,217,11,45,25,23,64,18,1
4035,168,205,8,87,32,18,24,22,1
4036,293,208,6,84,2,15,48,31,1
4037,19,3,27,99,3,7,25,31,1
4038,272,205,3,99,6,24,20,19,1
4039,251,3,5,19,14,21,41,27,1
4040,53,205,2,81,32,8,7,23,1
4041,29,10,26,80,24,10,45,25,1
4042,11,6,26,23,28,14,7,10,1
4043,182,213,8,23,1,5,18,24,1
4044,203,6,2,71,28,9,37,7,1
4045,304,7,19,96,2,20,53,32,1
4046,210,7,5,96,12,10,65,29,1
4047,42,7,17,117,2,27,21,24,1
4048,279,0,8,117,32,18,53,11,1
4049,286,215,3,26,23,21,10,33,1
4050,158,8,12,78,8,10,8,40,1
4051,309,218,26,14,9,14,44,31,1
4052,218,208,6,92,4,5,40,37,1
4053,16,207,17,95,5,18,45,27,1
4054,52,213,8,50,6,11,26,5,1
4055,288,2,26,115,21,21,42,20,1
4056,168,11,8,37,14,17,48,33,1
4057,103,212,26,95,19,5,36,21,1
4058,30,13,16,81,31,6,17,38,1
4059,171,3,11,73,12,7,61,36,1
4060,116,212,26,102,13,26,40,1,1
4061,328,214,10,75,29,25,45,1,1
4062,340,7,1,106,19,31,54,12,1
4063,324,211,22,76,2,15,72,40,1
4064,210,211,11,34,2,6,59,6,1
4065,134,10,12,18,2,4,36,4,1
4066,352,12,13,119,19,20,61,32,1
4067,242,213,20,18,27,3,3,24,1
4068,259,214,5,38,16,32,18,24,1
4069,133,204,22,119,20,27,44,34,1
4070,69,4,2,87,29,33,55,32,1
4071,134,203,18,53,32,20,23,30,1
4072,184,208,27,109,18,25,27,5,1
4073,349,5,6,92,28,3,44,34,1
4074,42,11,9,31,24,15,4,1,1
4075,101,7,3,90,14,33,32,25,1
4076,207,11,7,84,29,10,27,34,1
4077,6,206,18,83,8,25,22,40,1
4078,192,214,11,20,9,17,22,1,1
4079,204,206,10,70,32,12,51,29,1
4080,9,8,7,31,11,28,11,35,1
4081,52,13,16,31,23,13,56,1,1
4082,310,218,13,32,32,25,22,22,1
4083,322,8,23,8,12,25,29,10,1
4084,98,207,14,17,10,4,35,3,1
4085,4,7,13,53,23,22,6,4,1
4086,58,11,27,33,26,18,41,27,1
4087,283,215,5,45,28,33,37,19,1
4088,264,215,22,29,10,12,26,30,1
4089,168,8,28,19,19,11,47,40,1
4090,172,13,2,49,18,10,7,13,1
4091,84,214,26,27,18,10,31,14,1
4092,284,3,1,87,18,21,14,9,1
4093,206,5,2,18,1,11,58,22,1
4094,96,204,24,59,29,10,35,25,1
4095,342,204,26,69,11,18,48,17,1
4096,342,9,12,113,14,1,27,37,1
4097,166,6,23,77,32,6,50,24,1
4098,192,219,15,87,25,8,72,5,1
4099,346,1,1,39,4,30,63,19,1
4100,353,9,5,61,24,12,68,31,1
4101,5,206,4,118,4,18,63,32,1
4102,188,213,10,80,9,4,34,5,1
4103,297,10,23,24,11,1,22,36,1
4104,345,211,24,46,19,10,62,32,1
4105,257,9,19,6,22,15,50,30,1
4106,238,207,28,107,19,9,49,32,1
4107,135,2,7,49,12,11,17,38,1
4108,105,0,15,6,10,4,4,39,1
4109,25,1,4,40,26,3,62,24,1
4110,216,206,24,74,6,24,51,11,1
4111,47,205,28,74,18,24,16,27,1
4112,328,216,10,35,11,18,66,39,1
4113,88,206,4,14,11,5,10,9,1
4114,88,209,14,68,3,7,24,15,1
4115,356,10,16,14,21,12,6,33,1
4116,30,217,11,100,13,15,52,27,1
4117,125,13,12,29,4,15,19,25,1
4118,172,207,3,120,5,23,15,27,1
4119,124,12,4,32,25,13,72,17,1
4120,11,208,26,21,30,26,45,7,1
4121,265,213,8,116,12,20,37,41,1
4122,124,209,18,11,28,29,54,7,1
4123,152,218,3,34,25,23,31,11,1
4124,362,218,18,8,3,25,21,6,1
4125,347,11,29,112,5,17,14,32,1
4126,85,215,14,112,23,23,44,29,1
4127,362,5,24,105,1,24,43,4,1
4128,22,214,6,6,15,29,49,36,1
4129,186,213,7,15,18,2,49,7,1
4130,132,11,23,93,21,3,26,24,1
4131,298,12,20,9,31,3,58,30,1
4132,274,10,27,17,26,2,31,1,1
4133,360,211,26,103,13,12,7,25,1
4134,100,219,21,109,11,4,11,36,1
4135,38,213,10,20,12,15,6,30,1
4136,337,3,8,78,24,22,15,10,1
4137,293,11,16,91,10,7,11,36,1
4138,248,9,3,85,11,11,20,17,1
4139,85,8,28,85,20,24,56,10,1
4140,226,203,1,18,6,19,4,26,1
4141,72,203,11,81,16,28,49,14,1
4142,278,203,27,37,19,5,69,11,1
4143,117,7,7,69,11,14,68,3,1
4144,155,13,21,103,32,22,17,6,1
4145,189,204,19,24,15,27,41,4,1
4146,358,219,8,46,23,16,60,1,1
4147,347,214,22,119,25,26,37,40,1
4148,206,209,26,110,7,31,59,15,1
4149,196,204,16,70,13,10,34,12,1
4150,31,206,2,48,30,31,24,22,1
4151,239,12,23,100,28,18,63,24,1
4152,361,216,14,60,31,23,69,3,1
4153,266,3,26,35,27,30,60,29,1
4154,95,216,19,117,4,18,35,15,1
4155,1,211,8,26,30,2,4,7,1
4156,330,0,5,114,5,6,9,15,1
4157,103,208,4,8,29,26,16,40,1
4158,248,205,10,64,29,7,11,40,1
4159,174,219,4,36,9,27,42,3,1
4160,168,213,3,109,13,19,14,17,1
4161,166,213,7,48,18,11,61,18,1
4162,256,216,20,5,30,5,39,27,1
4163,62,209,28,80,27,25,40,6,1
4164,33,217,29,36,26,15,18,26,1
4165,35,211,19,33,25,31,50,11,1
4166,160,216,12,38,9,9,21,14,1
4167,8,13,15,50,7,7,16,28,1
4168,355,212,2,87,31,1,30,10,1
4169,353,9,2,28,4,19,47,22,1
4170,362,13,10,45,12,7,71,39,1
4171,278,12,4,87,12,9,9,2,1
4172,4,219,26,94,3,10,24,2,1
4173,83,219,27,78,1,8,2,16,1
4174,206,3,23,22,22,31,30,17,1
4175,307,4,29,43,30,4,43,7,1
4176,169,2,6,95,12,5,66,12,1
4177,34,0,26,33,26,29,13,4,1
4178,1,204,27,9,28,28,58,13,1
4179,166,211,24,10,17,19,29,8,1
4180,91,11,2,87,30,11,8,14,1
4181,191,210,19,35,20,33,52,31,1
4182,139,7,4,34,1,22,33,17,1
4183,158,207,23,97,14,4,39,18,1
4184,93,12,17,63,22,9,55,6,1
4185,23,1,20,78,5,2,71,15,1
4186,362,211,12,53,16,7,7,10,1
4187,214,3,13,57,4,21,70,16,1
4188,230,9,19,115,11,3,49,34,1
4189,355,219,26,87,26,17,31,14,1
4190,309,9,2,22,14,25,42,26,1
4191,282,218,11,108,6,20,44,31,1
4192,93,6,13,102,13,19,23,12,1
4193,30,215,11,85,29,18,43,6,1
4194,316,8,6,72,3,31,63,13,1
4195,297,5,16,69,6,3,52,41,1
4196,52,11,28,31,1,5,16,6,1
4197,83,5,19,86,18,8,46,16,1
4198,326,8,1,83,4,16,39,24,1
4199,89,1,15,104,22,4,62,19,1
4200,126,206,29,88,27,31,62,7,1
4201,236,9,13,67,12,6,69,4,1
4202,6,203,17,63,7,19,12,17,1
4203,59,207,16,96,12,10,63,7,1
4204,303,213,25,104,17,28,64,13,1
4205,108,204,13,69,23,30,51,12,1
4206,149,6,1,10,21,4,54,8,1
4207,182,216,3,116,13,27,64,11,1
4208,312,8,28,36,30,28,66,17,1
4209,206,216,5,69,27,13,62,19,1
4210,141,9,6,53,29,22,46,1,1
4211,183,10,7,99,20,31,18,36,1
4212,193,7,14,68,20,15,23,40,1
4213,237,13,15,48,21,8,3,33,1
4214,227,209,29,82,4,5,39,9,1
4215,13,13,29,96,5,28,65,13,1
4216,233,209,18,100,16,6,43,31,1
4217,89,206,27,47,1,18,6,13,1
4218,55,4,9,52,1,6,36,11,1
4219,227,13,3,56,11,25,58,15,1
4220,180,209,5,77,5,23,61,27,1
4221,49,8,15,65,30,13,40,1,1
4222,30,204,13,9,6,12,38,22,1
4223,210,13,13,11,8,25,11,21,1
4224,212,211,4,47,25,33,39,27,1
4225,37,6,24,84,14,2,56,24,1
4226,266,5,28,98,16,5,49,24,1
4227,335,211,21,62,19,20,30,37,1
4228,292,203,20,3,15,4,44,35,1
4229,51,210,1,108,24,32,39,4,1
4230,188,11,13,77,13,25,63,41,1
4231,335,206,19,100,26,27,53,27,1
4232,356,13,8,62,2,11,67,5,1
4233,269,11,9,74,13,14,67,14,1
4234,211,211,10,31,2,4,66,27,1
4235,353,209,11,100,16,22,24,26,1
4236,332,203,27,68,24,1,50,15,1
4237,352,6,17,88,13,20,59,19,1
4238,258,11,1,78,32,18,11,4,1
4239,356,213,16,61,16,6,56,12,1
4240,141,2,7,11,22,12,32,36,1
4241,78,217,16,40,19,20,61,41,1
4242,244,11,22,77,25,29,31,13,1
4243,233,13,8,46,3,3,71,38,1
4244,360,7,21,83,15,4,47,40,1
4245,350,213,21,120,9,24,31,26,1
4246,241,4,14,99,21,11,26,22,1
4247,292,2,8,21,19,8,12,15,1
4248,161,10,10,7,28,5,58,5,1
4249,246,2,6,38,28,4,30,33,1
4250,246,13,22,71,31,7,58,16,1
4251,178,5,24,17,17,16,21,10,1
4252,266,12,25,38,19,14,53,40,1
4253,137,9,27,12,8,1,16,22,1
4254,99,9,29,119,6,29,57,36,1
4255,121,216,22,22,3,1,13,10,1
4256,10,4,16,21,25,4,44,29,1
4257,275,210,12,20,9,32,19,16,1
4258,66,218,9,37,31,6,34,31,1
4259,263,12,22,22,5,7,50,16,1
4260,45,7,17,115,4,25,42,17,1
4261,27,9,9,87,27,13,19,9,1
4262,96,215,23,108,20,33,65,10,1
4263,346,210,5,41,27,29,24,4,1
4264,343,202,11,119,13,12,57,37,1
4265,318,218,2,16,1,29,31,34,1
4266,249,202,29,25,2,6,68,25,1
4267,348,5,9,121,1,1,18,37,1
4268,287,10,6,76,4,16,27,31,1
4269,363,213,29,12,22,16,20,13,1
4270,67,5,7,65,28,10,35,27,1
4271,241,1,5,64,4,32,28,37,1
4272,249,211,13,21,29,19,37,35,1
4273,236,210,16,45,7,30,62,14,1
4274,100,1,22,77,9,27,44,13,1
4275,351,217,16,5,15,18,11,18,1
4276,37,0,6,5,24,30,45,28,1
4277,137,11,9,96,30,11,17,35,1
4278,253,3,17,106,26,20,5,1,1
4279,6,11,28,110,30,8,34,37,1
4280,251,5,15,81,3,9,36,37,1
4281,13,205,12,23,26,18,8,10,1
4282,50,8,21,63,21,2,16,27,1
4283,68,6,26,57,21,26,69,12,1
4284,324,46,0,45,4,5,63,30,2
4285,352,130,0,77,20,32,5,37,2
4286,124,87,0,62,17,27,33,24,2
4287,22,164,0,31,13,30,35,29,2
4288,48,176,1,16,20,27,68,31,2
4289,130,107,1,116,4,8,26,37,2
4290,286,121,31,107,9,11,30,38,2
4291,307,86,1,16,12,13,6,33,2
4292,227,14,1,34,25,15,65,4,2
4293,46,101,1,3,8,1,13,41,2
4294,268,84,32,57,18,2,13,33,2
4295,294,20,0,63,15,33,59,38,2
4296,62,158,33,96,20,9,71,32,2
4297,122,75,33,27,27,31,47,11,2
4298,26,169,31,10,17,28,61,38,2
4299,268,21,33,39,9,6,14,10,2
4300,195,91,33,14,28,18,24,1,2
4301,353,134,1,97,14,5,58,6,2
4302,244,132,1,15,30,4,20,7,2
4303,331,144,33,37,30,21,27,21,2
4304,61,152,0,12,19,17,62,3,2
4305,319,152,0,51,31,30,7,17,2
4306,46,20,0,68,3,7,3,32,2
4307,4,182,31,21,7,24,15,29,2
4308,42,161,31,52,5,20,58,29,2
4309,132,46,33,17,7,4,34,19,2
4310,26,153,1,84,12,10,33,35,2
4311,341,38,1,114,30,5,13,6,2
4312,276,156,0,15,19,8,7,40,2
4313,65,121,1,113,5,9,20,23,2
4314,257,122,1,44,21,24,65,4,2
4315,260,171,32,115,28,26,13,7,2
4316,347,79,0,41,5,30,47,8,2
4317,46,106,1,116,9,19,72,1,2
4318,292,34,1,94,27,14,22,2,2
4319,310,45,1,37,17,5,47,8,2
4320,320,150,0,13,29,20,35,1,2
4321,222,97,0,72,13,10,62,13,2
4322,234,83,31,28,4,8,48,40,2
4323,256,177,33,101,28,8,58,19,2
4324,256,150,33,68,27,33,40,36,2
4325,143,96,31,63,18,29,49,27,2
4326,40,45,32,59,23,29,16,37,2
4327,318,100,32,108,20,6,64,21,2
4328,330,175,1,67,2,25,53,14,2
4329,78,111,33,62,24,18,53,17,2
4330,46,108,0,67,24,32,62,6,2
4331,15,94,0,93,15,7,44,7,2
4332,263,100,0,36,7,25,37,5,2
4333,293,119,33,11,1,21,50,41,2
4334,277,51,1,79,25,12,20,22,2
4335,359,108,1,71,2,24,72,7,2
4336,14,18,1,105,29,25,47,36,2
4337,228,176,1,44,18,26,4,5,2
4338,54,104,1,120,29,31,13,6,2
4339,241,148,0,38,17,16,23,21,2
4340,147,18,1,31,14,23,28,17,2
4341,130,63,0,7,1,31,10,22,2
4342,6,57,0,58,13,12,58,17,2
4343,124,44,32,110,16,25,36,9,2
4344,345,118,31,97,6,27,70,12,2
4345,317,67,31,111,29,11,69,1,2
4346,10,84,1,108,10,12,61,36,2
4347,226,38,0,51,9,6,49,20,2
4348,92,113,0,80,31,14,67,26,2
4349,138,82,0,108,28,8,28,17,2
4350,14,143,31,75,9,5,62,15,2
4351,185,149,33,65,3,7,50,17,2
4352,74,129,31,19,11,1,36,35,2
4353,275,171,0,58,4,9,52,38,2
4354,174,174,1,42,28,6,35,21,2
4355,251,81,0,15,4,15,19,8,2
4356,312,76,1,115,16,17,5,40,2
4357,235,141,1,48,14,3,31,10,2
4358,217,90,1,117,14,5,4,12,2
4359,362,158,1,58,1,9,8,28,2
4360,292,42,33,78,9,16,65,40,2
4361,119,73,1,118,26,25,51,38,2
4362,39,130,31,69,18,22,19,25,2
4363,340,17,33,117,22,16,32,14,2
4364,318,107,32,115,23,29,35,7,2
4365,9,125,33,47,21,1,16,18,2
4366,281,114,33,94,3,28,41,22,2
4367,235,54,1,62,29,17,6,19,2
4368,85,170,0,87,27,10,5,4,2
4369,43,161,0,103,21,17,62,2,2
4370,111,179,32,83,5,2,23,37,2
4371,318,130,1,111,24,14,16,25,2
4372,43,161,33,95,2,7,26,40,2
4373,308,146,1,55,24,16,71,34,2
4374,361,167,0,41,25,19,62,8,2
4375,304,115,0,76,20,4,49,23,2
4376,273,108,0,29,18,6,35,1,2
4377,192,104,31,65,23,11,67,25,2
4378,202,15,31,104,16,11,68,20,2
4379,224,129,32,69,31,23,11,28,2
4380,48,101,1,121,18,6,27,41,2
4381,44,120,0,41,5,26,24,16,2
4382,251,166,32,64,8,1,28,33,2
4383,32,68,0,59,21,17,8,11,2
4384,347,161,1,99,12,3,61,8,2
4385,130,129,32,91,10,20,72,8,2
4386,201,24,1,58,24,29,44,22,2
4387,26,145,33,6,20,25,32,31,2
4388,251,91,32,25,4,23,32,28,2
4389,198,29,0,69,23,2,3,10,2
4390,253,163,1,46,24,32,34,30,2
4391,364,97,1,77,8,16,34,40,2
4392,157,103,1,81,18,16,70,23,2
4393,109,39,1,95,12,17,8,14,2
4394,25,46,0,32,2,14,22,5,2
4395,169,170,31,102,7,16,10,23,2
4396,156,160,0,55,3,1,30,32,2
4397,136,176,32,25,11,6,40,28,2
4398,159,66,32,117,8,2,53,29,2
4399,74,33,1,121,30,12,29,24,2
4400,284,34,33,3,4,32,68,40,2
4401,193,83,0,28,10,30,69,40,2
4402,76,23,1,104,29,13,8,30,2
4403,22,36,0,64,17,5,43,31,2
4404,41,22,33,3,3,15,56,9,2
4405,190,159,32,82,11,10,59,36,2
4406,263,38,0,117,11,22,30,1,2
4407,233,133,31,118,29,23,26,28,2
4408,85,127,31,18,8,27,38,2,2
4409,118,160,0,28,3,33,63,27,2
4410,43,60,32,5,3,32,72,15,2
4411,69,36,31,50,16,17,39,37,2
4412,222,176,0,56,13,4,27,11,2
4413,324,23,32,93,3,29,33,6,2
4414,190,56,0,26,16,17,42,6,2
4415,358,73,32,108,10,17,42,36,2
4416,276,75,33,5,4,33,60,12,2
4417,354,137,33,50,27,25,56,31,2
4418,50,53,0,107,9,19,63,8,2
4419,339,146,1,118,24,11,33,19,2
4420,159,66,0,114,10,2,22,30,2
4421,63,166,32,57,9,23,33,20,2
4422,23,98,1,70,2,18,14,1,2
4423,147,180,0,9,8,30,10,3,2
4424,361,32,33,49,6,9,56,24,2
4425,273,67,32,9,4,24,22,38,2
4426,212,131,1,81,12,31,10,9,2
4427,284,76,1,64,13,32,30,33,2
4428,128,14,0,66,25,16,34,15,2
4429,129,68,33,81,18,3,33,19,2
4430,123,46,0,42,32,28,35,21,2
4431,41,179,31,58,15,31,59,24,2
4432,306,115,31,120,26,10,23,41,2
4433,97,32,1,101,9,28,21,41,2
4434,243,134,33,68,26,5,62,3,2
4435,269,34,0,110,23,7,38,14,2
4436,59,51,1,68,28,2,7,25,2
4437,124,143,31,31,20,3,56,20,2
4438,184,158,32,58,31,32,70,17,2
4439,186,17,1,25,14,25,13,32,2
4440,290,140,33,118,31,16,18,19,2
4441,301,165,1,121,31,12,61,20,2
4442,80,159,0,100,27,30,11,18,2
4443,63,156,32,76,5,33,24,23,2
4444,154,108,33,46,22,18,46,33,2
4445,156,156,1,92,10,12,49,22,2
4446,84,119,31,9,23,14,63,3,2
4447,139,93,32,61,17,26,50,39,2
4448,43,30,32,89,13,19,43,41,2
4449,291,134,1,100,4,24,35,24,2
4450,175,126,1,72,10,21,46,25,2
4451,46,67,0,29,24,23,27,15,2
4452,29,93,1,81,29,5,52,37,2
4453,134,86,1,79,2,10,28,8,2
4454,357,48,33,73,8,18,17,17,2
4455,173,126,32,95,1,8,28,24,2
4456,229,115,1,110,15,2,9,12,2
4457,173,17,33,80,10,33,14,7,2
4458,307,62,32,20,7,32,68,37,2
4459,338,134,31,116,10,26,26,33,2
4460,122,111,33,41,29,12,49,40,2
4461,147,22,1,55,1,9,70,38,2
4462,135,57,1,99,25,20,45,18,2
4463,78,133,31,121,15,8,40,20,2
4464,243,16,33,69,12,26,6,2,2
4465,292,27,1,35,12,15,36,22,2
4466,212,159,32,107,24,10,31,28,2
4467,52,17,33,100,13,24,68,28,2
4468,105,60,32,52,10,3,43,18,2
4469,57,63,0,118,21,33,24,16,2
4470,116,142,1,35,24,10,48,12,2
4471,305,135,0,67,5,22,19,10,2
4472,195,16,33,75,21,20,47,27,2
4473,343,38,32,110,3,1,49,9,2
4474,112,30,31,65,7,6,51,3,2
4475,277,37,1,25,4,21,49,6,2
4476,17,34,32,115,32,23,72,31,2
4477,210,162,33,65,23,27,51,11,2
4478,111,137,33,27,17,15,10,11,2
4479,239,76,1,88,19,23,37,27,2
4480,233,49,0,42,10,24,15,19,2
4481,10,63,1,62,12,26,43,16,2
4482,198,162,31,22,22,30,67,22,2
4483,106,19,32,36,32,26,33,26,2
4484,9,56,0,106,31,16,19,19,2
4485,64,97,31,71,32,10,57,28,2
4486,61,55,1,55,13,20,64,14,2
4487,345,31,32,107,9,4,63,1,2
4488,237,79,32,6,4,30,61,24,2
4489,245,173,31,35,1,21,25,39,2
4490,333,107,31,45,4,31,2,39,2
4491,183,55,31,81,28,11,6,12,2
4492,197,62,0,107,21,11,29,7,2
4493,121,75,32,22,16,24,6,14,2
4494,8,15,32,69,2,26,36,20,2
4495,312,25,0,109,10,5,22,2,2
4496,52,33,31,64,31,26,59,41,2
4497,109,178,0,30,15,24,46,4,2
4498,215,134,31,102,5,29,9,41,2
4499,7,165,0,32,12,18,71,8,2
4500,192,121,1,101,31,28,26,33,2
4501,130,57,33,3,8,31,30,26,2
4502,197,78,33,38,15,11,36,18,2
4503,255,80,1,4,19,27,65,33,2
4504,74,61,33,28,8,31,71,9,2
4505,78,112,33,58,1,20,51,21,2
4506,333,59,0,62,2,25,64,13,2
4507,22,42,1,15,31,10,51,3,2
4508,300,118,33,15,2,23,13,2,2
4509,236,34,31,11,12,16,13,3,2
4510,177,57,1,37,11,6,18,18,2
4511,82,43,1,73,26,8,15,15,2
4512,341,104,0,97,18,17,29,9,2
4513,98,121,0,78,11,30,49,5,2
4514,28,69,1,53,17,1,27,21,2
4515,294,129,33,91,17,15,33,24,2
4516,176,123,33,113,29,33,4,40,2
4517,126,54,1,88,2,12,20,22,2
4518,62,50,0,82,21,16,38,13,2
4519,297,179,32,92,25,28,33,7,2
4520,358,150,32,81,32,27,12,3,2
4521,357,18,1,36,1,30,20,34,2
4522,236,48,31,92,8,6,30,32,2
4523,308,87,32,120,31,16,7,38,2
4524,331,167,33,60,4,5,45,22,2
4525,169,176,0,24,3,9,19,18,2
4526,306,62,1,89,5,9,36,5,2
4527,265,140,31,118,13,20,66,7,2
4528,22,94,1,120,30,10,62,20,2
4529,125,178,31,91,10,15,2,27,2
4530,99,152,1,12,5,26,11,11,2
4531,284,21,31,61,22,6,8,33,2
4532,333,155,33,35,14,23,10,27,2
4533,137,112,33,121,15,3,33,16,2
4534,289,127,0,58,16,14,26,1,2
4535,138,42,32,77,18,6,24,29,2
4536,7,37,33,101,6,14,67,19,2
4537,63,35,0,69,1,30,46,39,2
4538,27,86,1,76,17,25,41,5,2
4539,275,129,32,37,1,16,32,2,2
4540,95,113,1,40,23,29,11,39,2
4541,182,166,0,37,23,25,22,40,2
4542,32,35,33,83,23,20,18,6,2
4543,71,162,1,110,10,21,53,10,2
4544,18,183,0,82,29,20,53,7,2
4545,116,47,1,45,26,15,60,9,2
4546,142,101,33,20,30,28,10,11,2
4547,315,103,33,100,29,21,37,34,2
4548,50,88,33,18,27,6,7,31,2
4549,205,86,0,29,2,4,35,14,2
4550,44,150,0,118,9,33,34,3,2
4551,111,178,0,82,6,32,61,35,2
4552,88,124,1,63,24,18,16,19,2
4553,361,28,0,64,22,7,14,29,2
4554,71,157,32,94,28,17,32,17,2
4555,127,54,1,121,3,22,54,3,2
4556,256,94,32,107,15,22,19,30,2
4557,70,182,31,35,14,18,41,36,2
4558,53,60,0,59,6,16,5,27,2
4559,270,129,0,22,31,16,26,10,2
4560,272,14,33,45,22,9,21,10,2
4561,267,15,0,85,3,33,47,6,2
4562,354,58,33,80,15,25,30,27,2
4563,127,90,0,37,24,20,3,7,2
4564,327,128,32,34,8,14,27,17,2
4565,180,18,32,91,17,24,22,38,2
4566,143,32,0,16,19,8,23,36,2
4567,60,88,0,108,3,3,66,33,2
4568,299,48,33,5,22,10,5,40,2
4569,59,49,31,95,9,31,39,20,2
4570,187,50,1,27,21,13,57,28,2
4571,98,171,31,26,14,19,68,6,2
4572,101,79,32,65,30,11,45,25,2
4573,23,166,0,94,5,24,51,1,2
4574,349,126,31,9,1,21,24,6,2
4575,170,185,31,20,9,11,66,20,2
4576,114,54,33,56,24,27,41,41,2
4577,30,30,31,58,30,21,23,17,2
4578,307,68,32,107,6,21,22,8,2
4579,204,40,1,5,25,11,7,23,2
4580,6,158,33,60,12,29,46,9,2
4581,159,36,0,114,24,27,56,31,2
4582,273,48,33,27,19,4,29,26,2
4583,274,181,33,121,16,16,45,17,2
4584,195,15,31,49,17,13,16,24,2
4585,82,93,33,109,32,32,48,31,2
4586,49,176,33,62,13,25,52,34,2
4587,287,170,32,5,1,25,23,34,2
4588,297,121,32,91,26,7,46,40,2
4589,144,158,1,28,21,1,9,10,2
4590,302,159,1,79,7,23,70,12,2
4591,299,128,32,21,4,26,66,14,2
4592,14,172,0,49,3,18,11,15,2
4593,78,145,1,40,31,7,46,5,2
4594,255,147,32,89,17,25,48,1,2
4595,78,66,0,15,18,24,58,9,2
4596,176,103,32,63,14,13,29,23,2
4597,288,161,1,13,32,24,25,2,2
4598,199,65,0,25,3,7,55,21,2
4599,210,46,1,121,16,12,69,32,2
4600,221,116,0,75,29,6,3,14,2
4601,217,134,0,21,11,21,42,7,2
4602,132,118,1,97,28,27,24,6,2
4603,202,134,31,30,28,24,45,28,2
4604,99,129,31,54,18,7,68,31,2
4605,315,182,33,67,2,23,68,33,2
4606,117,117,32,55,2,33,24,31,2
4607,225,127,1,92,16,24,45,8,2
4608,122,178,1,45,19,22,20,2,2
4609,335,49,32,55,29,22,29,23,2
4610,324,115,31,84,23,14,47,37,2
4611,335,90,1,20,21,1,55,34,2
4612,301,183,1,68,10,1,42,28,2
4613,272,56,1,40,12,8,8,14,2
4614,312,132,0,63,13,19,40,27,2
4615,73,62,32,74,23,3,17,6,2
4616,328,106,0,66,25,30,12,39,2
4617,230,66,1,49,2,25,12,21,2
4618,337,100,32,52,12,11,48,28,2
4619,267,141,1,110,26,31,18,31,2
4620,175,62,32,38,26,31,40,20,2
4621,271,62,33,36,21,26,8,11,2
4622,290,139,0,53,26,25,62,1,2
4623,83,141,31,86,13,7,3,20,2
4624,346,63,33,82,20,18,9,6,2
4625,311,178,1,53,8,12,11,40,2
4626,94,34,1,64,10,18,45,14,2
4627,340,22,33,26,25,17,60,38,2
4628,40,53,32,20,16,30,53,36,2
4629,286,21,32,61,25,24,70,31,2
4630,209,79,0,76,13,7,43,19,2
4631,194,129,32,96,14,5,13,14,2
4632,263,182,0,41,14,25,34,24,2
4633,37,87,1,29,1,12,69,3,2
4634,228,98,33,83,1,32,56,3,2
4635,295,41,31,16,9,2,6,16,2
4636,297,93,32,3,17,13,3,26,2
4637,103,59,1,88,23,14,61,21,2
4638,35,142,1,7,2,15,8,23,2
4639,228,174,0,15,8,33,13,3,2
4640,237,104,1,58,4,32,62,38,2
4641,166,170,32,32,2,33,5,4,2
4642,16,148,0,17,18,16,7,4,2
4643,82,68,32,102,31,31,9,3,2
4644,29,131,31,30,9,28,17,15,2
4645,298,162,1,47,21,30,53,1,2
4646,102,139,31,103,19,5,61,24,2
4647,298,40,32,31,20,24,30,10,2
4648,138,99,31,31,16,1,61,38,2
4649,339,101,1,39,14,19,51,5,2
4650,328,22,31,78,2,15,70,26,2
4651,174,98,32,36,22,26,29,4,2
4652,213,106,0,114,21,29,9,25,2
4653,85,159,33,41,28,28,58,28,2
4654,270,118,33,15,22,21,66,18,2
4655,263,71,33,80,27,6,47,10,2
4656,332,139,1,77,11,23,24,2,2
4657,183,27,32,36,3,31,33,11,2
4658,98,173,33,84,6,11,28,31,2
4659,59,75,33,55,29,29,7,8,2
4660,352,102,31,33,32,26,48,35,2
4661,303,117,0,70,5,7,28,23,2
4662,332,91,31,115,21,5,12,16,2
4663,148,110,31,110,25,5,52,8,2
